French,English
seulement,only
pensais,thought
aide,help
demande,request
mois,month
laisser,let
car,because
aucun,no
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
longtemps,long time
vont,will
pendant,while
aucune,any
place,square
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
corps,body
yeux,eyes
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
point,point
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
cause,cause
enfin,finally
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
compte,account
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
